timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217162.899,-361.328,-314.453,-39.551,-279.297,0.0
1659217162.903,96.68,-303.711,-40.039,124.512,0.0
1659217162.907,64.453,-309.57,-33.203,120.117,0.0
1659217162.91,-424.805,-320.801,-29.785,-292.969,0.0
1659217162.914,-471.191,-317.871,-39.551,-342.773,0.0
1659217162.918,-1.953,-306.641,-38.086,56.641,0.0
1659217162.921,166.016,-305.664,-34.18,202.637,0.0
1659217162.925,-304.199,-312.5,-30.762,-199.707,0.0
1659217162.929,-523.926,-309.082,-22.949,-382.324,0.0
1659217162.935,0.0,-305.176,-25.391,-62.012,0.0
1659217162.939,0.0,-298.34,-30.273,240.234,0.0
1659217162.943,0.0,-303.223,-23.438,-49.805,0.0
1659217162.946,0.0,-312.988,-23.926,-387.695,0.0
1659217162.95,0.0,-302.734,-31.738,-191.406,0.0
1659217162.954,0.0,-302.246,-29.297,194.824,0.0
1659217162.958,0.0,-308.594,-24.902,59.082,0.0
1659217162.961,0.0,-312.012,-20.996,-338.867,0.0
1659217162.965,0.0,-308.105,-22.461,-264.16,0.0
1659217162.969,0.0,-295.41,-29.785,135.742,0.0
1659217162.972,0.0,-307.617,-32.227,161.621,0.0
1659217162.976,0.0,-325.195,-32.715,-261.719,0.0
1659217162.982,-470.215,-327.148,-33.203,-340.82,0.0
1659217162.985,-18.555,-318.848,-33.691,26.367,0.0
1659217162.989,211.426,-317.383,-30.762,232.422,0.0
1659217162.993,-233.398,-327.637,-30.762,-130.371,0.0
1659217162.996,-491.211,-319.336,-31.738,-333.496,0.0
1659217163.0,-150.391,-308.105,-25.879,-53.223,0.0
1659217163.004,210.938,-301.758,-17.09,226.074,0.0
1659217163.007,-115.234,-303.223,-10.742,-26.855,0.0
1659217163.011,-545.898,-306.641,-10.254,-384.277,0.0
1659217163.015,-333.008,-296.387,-10.742,-238.281,0.0
1659217163.019,141.602,-288.574,-1.953,137.695,0.0
1659217163.022,7.324,-290.039,0.0,51.758,0.0
1659217163.029,-515.137,-290.039,-13.184,-389.16,0.0
1659217163.033,-481.934,-291.504,-10.742,-370.605,0.0
1659217163.036,6.836,-283.203,0.0,48.34,0.0
1659217163.04,102.051,-278.809,3.906,130.859,0.0
1659217163.044,-388.184,-288.574,0.977,-285.156,0.0
1659217163.048,-533.203,-294.922,-5.859,-412.598,0.0
1659217163.051,-110.352,-289.551,-7.812,-44.434,0.0
1659217163.055,178.223,-273.438,0.0,218.75,0.0
1659217163.059,-229.492,-273.926,-1.953,-132.812,0.0
1659217163.062,-533.691,-271.484,-2.93,-403.809,0.0
1659217163.066,-213.867,-243.164,2.441,-144.043,0.0
1659217163.07,183.594,-239.258,-0.488,184.57,0.0
1659217163.075,-61.523,-231.445,8.301,-21.973,0.0
1659217163.079,-518.555,-233.887,6.836,-387.207,0.0
1659217163.082,-383.789,-232.422,6.836,-275.391,0.0
1659217163.086,89.355,-194.336,15.137,101.074,0.0
1659217163.09,10.742,-199.707,17.578,50.293,0.0
1659217163.093,-506.836,-218.262,23.438,-377.93,0.0
1659217163.097,-501.953,-203.125,25.391,-398.926,0.0
1659217163.101,-45.41,-171.875,27.344,-39.062,0.0
1659217163.105,53.223,-137.695,37.109,51.27,0.0
1659217163.108,-446.289,-129.395,48.34,-341.797,0.0
1659217163.112,-662.109,-132.812,45.41,-509.766,0.0
1659217163.116,-283.203,-99.609,34.668,-215.82,0.0
1659217163.122,0.0,-83.496,37.598,41.016,0.0
1659217163.126,0.0,-97.168,40.039,-241.211,0.0
1659217163.129,0.0,-96.68,41.504,-532.715,0.0
1659217163.133,0.0,-88.867,35.645,-318.848,0.0
1659217163.137,0.0,-83.496,27.344,43.457,0.0
1659217163.141,0.0,-97.168,26.367,-101.074,0.0
1659217163.144,0.0,-111.816,17.09,-460.449,0.0
1659217163.148,0.0,-123.047,7.812,-366.211,0.0
1659217163.152,0.0,-122.07,0.977,59.57,0.0
1659217163.155,0.0,-122.07,-9.277,100.098,0.0
1659217163.159,0.0,-141.602,-10.742,-293.457,0.0
1659217163.163,0.0,-157.227,-15.625,-354.492,0.0
1659217163.169,-47.363,-165.039,-27.832,5.859,0.0
1659217163.173,178.223,-165.039,-30.762,210.938,0.0
1659217163.176,-247.559,-168.945,-34.668,-127.93,0.0
1659217163.18,-487.305,-182.617,-45.41,-353.027,0.0
1659217163.184,-124.023,-182.617,-46.387,-61.523,0.0
